Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein,Precursor Mz
Internal Standard,170410_Blk_FilterBlk_A,Heavy AMP,11.74,54200212,384169,3572285,1.5,Internal Standard,351.040983
Internal Standard,170410_Blk_FilterBlk_B,Heavy AMP,11.73,53820140,655474,3506545,1.3,Internal Standard,351.040983
Internal Standard,170410_Poo_April11AqExtractsFull_1,Heavy AMP,12.18,37942248,0,1951407,1.2,Internal Standard,351.040983
Internal Standard,170410_Poo_April11AqExtractsFull_2,Heavy AMP,12.8,25338040,0,1191891,0.8,Internal Standard,351.040983
Internal Standard,170410_Poo_April11AqExtractsFull_3,Heavy AMP,12.84,23307554,0,1057186,0.7,Internal Standard,351.040983
Internal Standard,170410_Poo_April11AqExtractsHalf_1,Heavy AMP,12.32,18815788,0,1078908,1.3,Internal Standard,351.040983
Internal Standard,170410_Poo_April11AqExtractsHalf_2,Heavy AMP,12.81,12231294,0,576151,1,Internal Standard,351.040983
Internal Standard,170410_Poo_April11AqExtractsHalf_3,Heavy AMP,12.77,13899177,0,645376,0.9,Internal Standard,351.040983
Internal Standard,170410_Smp_KM1513-125m_A,Heavy AMP,12.02,37648228,0,1664545,1.5,Internal Standard,351.040983
Internal Standard,170410_Smp_KM1513-125m_B,Heavy AMP,12.9,21595110,0,982115,1,Internal Standard,351.040983
Internal Standard,170410_Smp_KM1513-125m_C,Heavy AMP,12.98,19186332,0,857227,1,Internal Standard,351.040983
Internal Standard,170410_Smp_KM1513-15m_A,Heavy AMP,12.23,38655492,0,1992928,1.2,Internal Standard,351.040983
Internal Standard,170410_Smp_KM1513-15m_B,Heavy AMP,12.64,32480674,0,1606819,0.9,Internal Standard,351.040983
Internal Standard,170410_Smp_KM1513-15m_C,Heavy AMP,12.84,26021974,0,1175459,0.9,Internal Standard,351.040983
Internal Standard,170410_Smp_KM1513-45m_A,Heavy AMP,12.32,34454976,0,1674920,1.2,Internal Standard,351.040983
Internal Standard,170410_Smp_KM1513-45m_B,Heavy AMP,12.76,32353604,0,1386633,0.7,Internal Standard,351.040983
Internal Standard,170410_Smp_KM1513-45m_C,Heavy AMP,12.84,31856148,0,1389066,0.7,Internal Standard,351.040983
Internal Standard,170410_Smp_KM1513-75m_A,Heavy AMP,12.35,39572244,0,1942850,1.4,Internal Standard,351.040983
Internal Standard,170410_Smp_KM1513-75m_B,Heavy AMP,12.9,29353428,0,1282247,0.7,Internal Standard,351.040983
Internal Standard,170410_Smp_KM1513-75m_C,Heavy AMP,12.88,21260856,2998004,1019551,0.9,Internal Standard,351.040983
Internal Standard,170410_Blk_FilterBlk_A,Heavy GMP,13.89,10923326,0,860859,1.1,Internal Standard,367.035898
Internal Standard,170410_Blk_FilterBlk_B,Heavy GMP,13.91,10963848,0,915239,1.1,Internal Standard,367.035898
Internal Standard,170410_Poo_April11AqExtractsFull_1,Heavy GMP,14.93,1161680,0,74274,0.6,Internal Standard,367.035898
Internal Standard,170410_Poo_April11AqExtractsFull_2,Heavy GMP,15.05,2904630,0,182532,0.1,Internal Standard,367.035898
Internal Standard,170410_Poo_April11AqExtractsFull_3,Heavy GMP,15.15,2381257,0,120465,0.4,Internal Standard,367.035898
Internal Standard,170410_Poo_April11AqExtractsHalf_1,Heavy GMP,14.72,330964,0,49133,0.1,Internal Standard,367.035898
Internal Standard,170410_Poo_April11AqExtractsHalf_2,Heavy GMP,15.05,1032055,0,103836,0.5,Internal Standard,367.035898
Internal Standard,170410_Poo_April11AqExtractsHalf_3,Heavy GMP,14.9,1324963,0,108576,0.5,Internal Standard,367.035898
